,test_name,acc,ductive,unique_embeddings,seed,unlabeled_amount,labeled_amount
0,300 80 GCN,0.886,trans,True,0,1000,400
1,None 200 GCN,0.878,trans,True,0,1000,400
2,300 80 GCN,0.857,trans,False,0,1000,400
3,None 200 GCN,0.882,trans,False,0,1000,400
4,300 80 GCN,0.883,trans,True,1,1000,400
5,None 200 GCN,0.906,trans,True,1,1000,400
6,300 80 GCN,0.891,trans,False,1,1000,400
7,None 200 GCN,0.905,trans,False,1,1000,400
8,300 80 GCN,0.874,trans,True,2,1000,400
9,None 200 GCN,0.891,trans,True,2,1000,400
10,300 80 GCN,0.865,trans,False,2,1000,400
11,None 200 GCN,0.889,trans,False,2,1000,400
12,300 80 GCN,0.883,trans,True,3,1000,400
13,None 200 GCN,0.896,trans,True,3,1000,400
14,300 80 GCN,0.866,trans,False,3,1000,400
15,None 200 GCN,0.891,trans,False,3,1000,400
16,300 80 GCN,0.87,trans,True,4,1000,400
17,None 200 GCN,0.876,trans,True,4,1000,400
18,300 80 GCN,0.863,trans,False,4,1000,400
19,None 200 GCN,0.879,trans,False,4,1000,400
20,300 80 GCN,0.868,trans,True,5,1000,400
21,None 200 GCN,0.881,trans,True,5,1000,400
22,300 80 GCN,0.867,trans,False,5,1000,400
23,None 200 GCN,0.875,trans,False,5,1000,400
24,300 80 GCN,0.886,trans,True,6,1000,400
25,None 200 GCN,0.887,trans,True,6,1000,400
26,300 80 GCN,0.881,trans,False,6,1000,400
27,None 200 GCN,0.884,trans,False,6,1000,400
28,300 80 GCN,0.865,trans,True,7,1000,400
29,None 200 GCN,0.889,trans,True,7,1000,400
30,300 80 GCN,0.879,trans,False,7,1000,400
31,None 200 GCN,0.889,trans,False,7,1000,400
32,300 80 GCN,0.882,trans,True,8,1000,400
33,None 200 GCN,0.885,trans,True,8,1000,400
34,300 80 GCN,0.885,trans,False,8,1000,400
35,None 200 GCN,0.882,trans,False,8,1000,400
36,300 80 GCN,0.855,trans,True,9,1000,400
37,None 200 GCN,0.877,trans,True,9,1000,400
38,300 80 GCN,0.869,trans,False,9,1000,400
39,None 200 GCN,0.882,trans,False,9,1000,400
